2023-09-27 19:57:35[DEBUG] GLEW successfully ini2023-09-272023-09-27 19:57:36[DEBUG] Currently updating graphics
2023-09-27 19:57:36[DEBUG] Currentl2023-09-27 19:57:37[EVENT] KeyPressedEvent: Right ( 0 repeats)
2023-09-27 19:57:37[EVENT] KeyPressedEvent: Up ( 0 repeats)
2023-09-27 19:57:38[EVENT] KeyPressedEvent: Up ( 1 repeats)
2023-09-27 19:57:38[EVENT] KeyPressedEvent: Up ( 1 repeats)
2023-09-27 19:57:38[EVENT] KeyPressedEvent: Up ( 1 repeats)
2023-09-27 19:57:38[EVENT] KeyReleasedEvent: Up
2023-09-27 19:57:38[EVENT] KeyReleasedEvent: Right
2023-09-27 19:57:38[EVENT] KeyPressedEvent: Right ( 0 repeats)
2023-09-27 19:57:38[EVENT] KeyReleasedEvent: Right
2023-09-27 19:57:39[EVENT] KeyPressedEvent: P ( 0 repeats)
2023-09-27 19:57:39[EVENT] KeyTypedEvent: Unknown
2023-09-27 19:57:39[EVENT] KeyReleasedEvent: P
2023-09-27 19:57:39[EVENT] KeyPressedEvent: Right ( 0 repeats)
2023-09-27 19:57:40[EVENT] KeyPressedEvent: Up ( 0 repeats)
2023-09-27 19:57:40[EVENT] KeyPressedEvent: Left ( 0 repeats)
2023-09-27 19:57:40[EVENT] KeyReleasedEvent: Up
2023-09-27 19:57:40[EVENT] KeyReleasedEvent: Right
2023-09-27 19:57:40[EVENT] KeyPressedEvent: Right ( 0 repeats)
2023-09-27 19:57:40[EVENT] KeyPressedEvent: Up ( 0 repeats)
2023-09-27 19:57:40[EVENT] KeyReleasedEvent: Up
2023-09-27 19:57:40[EVENT] KeyReleasedEvent: Right
2023-09-27 19:57:40[EVENT] KeyReleasedEvent: Left
2023-09-27 19:57:40[EVENT] KeyPressedEvent: Right ( 0 repeats)
2023-09-27 19:57:40[EVENT] KeyPressedEvent: Down ( 0 repeats)
2023-09-27 19:57:41[EVENT] KeyReleasedEvent: Right
2023-09-27 19:57:41[EVENT] KeyReleasedEvent: Down
2023-09-27 19:57:41[EVENT] KeyPressedEvent: Right ( 0 repeats)
2023-09-27 19:57:41[EVENT] KeyReleasedEvent: Right
2023-09-27 19:57:41[EVENT] KeyPressedEvent: Left ( 0 repeats)
2023-09-27 19:57:41[EVENT] KeyReleasedEvent: Left
2023-09-27 19:57:41[EVENT] KeyPressedEvent: Up ( 0 repeats)
2023-09-27 19:57:41[EVENT] KeyReleasedEvent: Up
2023-09-27 19:57:41[EVENT] KeyPressedEvent: Down ( 0 repeats)
2023-09-27 19:57:42[EVENT] KeyReleasedEvent: Down
2023-09-27 19:57:40[DEBUG] Currently updating graphics
2023-09-27 19:57:40[DEBUG] Currently updating graphics
2023-09-27 19:57:40[DEBUG] Currently updating graphics
2023-09-27 19:57:40[DEBUG] Currently updating graphics
2023-09-27 19:57:40[DEBUG] Currently updating graphics
2023-09-27 19:57:40[DEBUG] Currently updating graphics
2023-09-27 19:57:40[DEBUG] Currently updating graphics
2023-09-27 19:57:40[DEBUG] Currently updating graphics
2023-09-27 19:57:40[DEBUG] Currently updating graphics
2023-09-27 19:57:40[DEBUG] Currently updating graphics
2023-09-27 19:57:40[DEBUG] Currently updating graphics
2023-09-27 19:57:40[DEBUG] Currently updating graphics
2023-09-27 19:57:40[DEBUG] Currently updating graphics
2023-09-27 19:57:40[DEBUG] Currently updating graphics
2023-09-27 19:57:40[DEBUG] Currently updating graphics
2023-09-27 19:57:40[DEBUG] Currently updating graphics
2023-09-27 19:57:40[DEBUG] Currently updating graphics
2023-09-27 19:57:41[DEBUG] Currently updating graphics
2023-09-27 19:57:41[DEBUG] Currently updating graphics
2023-09-27 19:57:41[DEBUG] Currently updating graphics
2023-09-27 19:57:41[DEBUG] Currently updating graphics
2023-09-27 19:57:41[DEBUG] Currently updating graphics
2023-09-27 19:57:41[DEBUG] Currently updating graphics
2023-09-27 19:57:41[DEBUG] Currently updating graphics
2023-09-27 19:57:41[DEBUG] Currently updating graphics
2023-09-27 19:57:41[DEBUG] Currently updating graphics
2023-09-27 19:57:41[DEBUG] Currently updating graphics
2023-09-27 19:57:41[DEBUG] Currently updating graphics
2023-09-27 19:57:41[DEBUG] Currently updating graphics
2023-09-27 19:57:41[DEBUG] Currently updating graphics
2023-09-27 19:57:41[DEBUG] Currently updating graphics
2023-09-27 19:57:41[DEBUG] Currently updating graphics
2023-09-27 19:57:41[DEBUG] Currently updating graphics
2023-09-27 19:57:41[DEBUG] Currently updating graphics
2023-09-27 19:57:41[DEBUG] Currently updating graphics
2023-09-27 19:57:41[DEBUG] Currently updating graphics
2023-09-27 19:57:41[DEBUG] Currently updating graphics
2023-09-27 19:57:42[DEBUG] Currently updating graphics
2023-09-27 19:57:42[DEBUG] Currently updating graphics
2023-09-27 19:57:42[DEBUG] Currently updating graphics
2023-09-27 19:57:42[DEBUG] Currently updating graphics
2023-09-27 19:57:42[DEBUG] Currently updating graphics
2023-09-27 19:57:42[DEBUG] Currently updating graphics
2023-09-27 19:57:42[DEBUG] Currently updating graphics
2023-09-27 19:57:42[DEBUG] Currently updating graphics
2023-09-27 19:57:42[DEBUG] Currently updating graphics
2023-09-27 19:57:42[DEBUG] Currently updating graphics
2023-09-27 19:57:42[DEBUG] Currently updating graphics
2023-09-27 19:57:42[DEBUG] Currently updating graphics
2023-09-27 19:57:42[DEBUG] Currently updating graphics
2023-09-27 19:57:42[DEBUG] Currently updating graphics
2023-09-27 19:57:42[DEBUG] Currently updating graphics
2023-09-27 19:57:42[DEBUG] Currently updating graphics
2023-09-27 19:57:42[DEBUG] Currently updating graphics
2023-09-27 19:57:42[DEBUG] Currently updating graphics
2023-09-27 19:57:42[DEBUG] Currently updating graphics
2023-09-27 19:57:42[DEBUG] Currently updating graphics
2023-09-27 19:57:43[DEBUG] Currently updating graphics
2023-09-27 19:57:43[DEBUG] Currently updating graphics
2023-09-27 19:57:43[DEBUG] Currently updating graphics
2023-09-27 19:57:43[DEBUG] Currently updating graphics
2023-09-27 19:57:43[DEBUG] Currently updating graphics
2023-09-27 19:57:43[DEBUG] Currently updating graphics
2023-09-27 19:57:43[DEBUG] Currently updating graphics
2023-09-27 19:57:43[DEBUG] Currently updating graphics
2023-09-27 19:57:43[DEBUG] Currently updating graphics
2023-09-27 19:57:43[DEBUG] Currently updating graphics
2023-09-27 19:57:43[DEBUG] Currently updating graphics
2023-09-27 19:57:43[DEBUG] Currently updating graphics
2023-09-27 19:57:43[DEBUG] Currently updating graphics
2023-09-27 19:57:43[DEBUG] Currently updating graphics
2023-09-27 19:57:43[DEBUG] Currently updating graphics
2023-09-27 19:57:43[DEBUG] Currently updating graphics
2023-09-27 19:57:43[DEBUG] Currently updating graphics
2023-09-27 19:57:43[DEBUG] Currently updating graphics
2023-09-27 19:57:43[DEBUG] Currently updating graphics
2023-09-27 19:57:43[DEBUG] Currently updating graphics
2023-09-27 19:57:44[DEBUG] Currently updating graphics
2023-09-27 19:57:44[DEBUG] Currently updating graphics
2023-09-27 19:57:44[DEBUG] Currently updating graphics
2023-09-27 19:57:44[DEBUG] Currently updating graphics
2023-09-27 19:57:44[DEBUG] Currently updating graphics
2023-09-27 19:57:44[DEBUG] Currently updating graphics
2023-09-27 19:57:44[DEBUG] Currently updating graphics
2023-09-27 19:57:44[DEBUG] Currently updating graphics
2023-09-27 19:57:44[DEBUG] Currently updating graphics
2023-09-27 19:57:44[DEBUG] Currently updating graphics
2023-09-27 19:57:44[DEBUG] Currently updating graphics
2023-09-27 19:57:44[DEBUG] Currently updating graphics
2023-09-27 19:57:44[DEBUG] Currently updating graphics
2023-09-27 19:57:44[DEBUG] Currently updating graphics
2023-09-27 19:57:44[DEBUG] Currently updating graphics
2023-09-27 19:57:44[DEBUG] Currently updating graphics
2023-09-27 19:57:44[DEBUG] Currently updating graphics
2023-09-27 19:57:44[DEBUG] Currently updating graphics
2023-09-27 19:57:44[DEBUG] Currently updating graphics
2023-09-27 19:57:44[DEBUG] Currently updating graphics
2023-09-27 19:57:45[DEBUG] Currently updating graphics
2023-09-27 19:57:45[DEBUG] Currently updating graphics
2023-09-27 19:57:45[DEBUG] Currently updating graphics
2023-09-27 19:57:45[DEBUG] Currently updating graphics
2023-09-27 19:57:45[DEBUG] Currently updating graphics
2023-09-27 19:57:45[DEBUG] Currently updating graphics
2023-09-27 19:57:45[DEBUG] Currently updating graphics
2023-09-27 19:57:45[DEBUG] Currently updating graphics
2023-09-27 19:57:45[DEBUG] Currently updating graphics
2023-09-27 19:57:45[DEBUG] Currently updating graphics
2023-09-27 19:57:45[DEBUG] Currently updating graphics
2023-09-27 19:57:45[DEBUG] Currently updating graphics
2023-09-27 19:57:45[DEBUG] Currently updating graphics
2023-09-27 19:57:45[DEBUG] Currently updating graphics
2023-09-27 19:57:45[DEBUG] Currently updating graphics
2023-09-27 19:57:45[DEBUG] Currently updating graphics
2023-09-27 19:57:45[DEBUG] Currently updating graphics
2023-09-27 19:57:45[DEBUG] Currently updating graphics
2023-09-27 19:57:45[DEBUG] Currently updating graphics
2023-09-27 19:57:45[DEBUG] Currently updating graphics
2023-09-27 19:57:46[DEBUG] Currently updating graphics
2023-09-27 19:57:46[DEBUG] Currently updating graphics
2023-09-27 19:57:46[DEBUG] Currently updating graphics
2023-09-27 19:57:46[DEBUG] Currently updating graphics
2023-09-27 19:57:46[DEBUG] Currently updating graphics
2023-09-27 19:57:46[DEBUG] Currently updating graphics
2023-09-27 19:57:46[DEBUG] Currently updating graphics
2023-09-27 19:57:46[DEBUG] Currently updating graphics
2023-09-27 19:57:46[DEBUG] Currently updating graphics
2023-09-27 19:57:46[DEBUG] Currently updating graphics
2023-09-27 19:57:46[DEBUG] Currently updating graphics
2023-09-27 19:57:46[DEBUG] Currently updating graphics
2023-09-27 19:57:46[DEBUG] Currently updating graphics
2023-09-27 19:57:46[DEBUG] Currently updating graphics
2023-09-27 19:57:46[DEBUG] Currently updating graphics
2023-09-27 19:57:46[DEBUG] Currently updating graphics
2023-09-27 19:57:46[DEBUG] Currently updating graphics
2023-09-27 19:57:46[DEBUG] Currently updating graphics
2023-09-27 19:57:46[DEBUG] Currently updating graphics
2023-09-27 19:57:46[DEBUG] Currently updating graphics
2023-09-27 19:57:47[DEBUG] Currently updating graphics
2023-09-27 19:57:47[DEBUG] Currently updating graphics
2023-09-27 19:57:47[DEBUG] Currently updating graphics
2023-09-27 19:57:47[DEBUG] Currently updating graphics
2023-09-27 19:57:47[DEBUG] Currently updating graphics
2023-09-27 19:57:47[DEBUG] Currently updating graphics
2023-09-27 19:57:47[DEBUG] Currently updating graphics
2023-09-27 19:57:47[DEBUG] Currently updating graphics
2023-09-27 19:57:47[DEBUG] Currently updating graphics
2023-09-27 19:57:47[DEBUG] Currently updating graphics
2023-09-27 19:57:47[DEBUG] Currently updating graphics
2023-09-27 19:57:47[DEBUG] Currently updating graphics
2023-09-27 19:57:47[DEBUG] Currently updating graphics
2023-09-27 19:57:47[DEBUG] Currently updating graphics
2023-09-27 19:57:47[DEBUG] Currently updating graphics
2023-09-27 19:57:47[DEBUG] Currently updating graphics
2023-09-27 19:57:47[DEBUG] Currently updating graphics
2023-09-27 19:57:47[DEBUG] Currently updating graphics
2023-09-27 19:57:47[DEBUG] Currently updating graphics
2023-09-27 19:57:47[DEBUG] Currently updating graphics
2023-09-27 19:57:48[DEBUG] Currently updating graphics
2023-09-27 19:57:48[DEBUG] Currently updating graphics
2023-09-27 19:57:48[DEBUG] Currently updating graphics
2023-09-27 19:57:48[DEBUG] Currently updating graphics
2023-09-27 19:57:48[DEBUG] Currently updating graphics
2023-09-27 19:57:48[DEBUG] Currently updating graphics
2023-09-27 19:57:48[DEBUG] Currently updating graphics
2023-09-27 19:57:48[DEBUG] Currently updating graphics
2023-09-27 19:57:48[DEBUG] Currently updating graphics
2023-09-27 19:57:48[DEBUG] Currently updating graphics
2023-09-27 19:57:48[DEBUG] Currently updating graphics
2023-09-27 19:57:48[DEBUG] Currently updating graphics
2023-09-27 19:57:48[DEBUG] Currently updating graphics
2023-09-27 19:57:48[DEBUG] Currently updating graphics
2023-09-27 19:57:48[DEBUG] Currently updating graphics
2023-09-27 19:57:48[DEBUG] Currently updating graphics
2023-09-27 19:57:48[DEBUG] Currently updating graphics
2023-09-27 19:57:48[DEBUG] Currently updating graphics
2023-09-27 19:57:48[DEBUG] Currently updating graphics
2023-09-27 19:57:48[DEBUG] Currently updating graphics
2023-09-27 19:57:49[DEBUG] Currently updating graphics
2023-09-27 19:57:49[DEBUG] Currently updating graphics
2023-09-27 19:57:49[DEBUG] Currently updating graphics
2023-09-27 19:57:49[DEBUG] Currently updating graphics
2023-09-27 19:57:49[DEBUG] Currently updating graphics
2023-09-27 19:57:49[DEBUG] Currently updating graphics
2023-09-27 19:57:49[DEBUG] Currently updating graphics
2023-09-27 19:57:49[DEBUG] Currently updating graphics
2023-09-27 19:57:49[DEBUG] Currently updating graphics
2023-09-27 19:57:49[DEBUG] Currently updating graphics
2023-09-27 19:57:49[DEBUG] Currently updating graphics
2023-09-27 19:57:49[DEBUG] Currently updating graphics
2023-09-27 19:57:49[DEBUG] Currently updating graphics
2023-09-27 19:57:49[DEBUG] Currently updating graphics
2023-09-27 19:57:49[DEBUG] Currently updating graphics
2023-09-27 19:57:49[DEBUG] Currently updating graphics
2023-09-27 19:57:49[DEBUG] Currently updating graphics
2023-09-27 19:57:49[DEBUG] Currently updating graphics
2023-09-27 19:57:49[DEBUG] Currently updating graphics
2023-09-27 19:57:49[DEBUG] Currently updating graphics
2023-09-27 19:57:50[DEBUG] Currently updating graphics
2023-09-27 19:57:50[DEBUG] Currently updating graphics
2023-09-27 19:57:50[DEBUG] Currently updating graphics
2023-09-27 19:57:50[DEBUG] Currently updating graphics
2023-09-27 19:57:50[DEBUG] Currently updating graphics
2023-09-27 19:57:50[DEBUG] Currently updating graphics
2023-09-27 19:57:50[DEBUG] Currently updating graphics
2023-09-27 19:57:50[DEBUG] Currently updating graphics
2023-09-27 19:57:50[DEBUG] Currently updating graphics
2023-09-27 19:57:50[DEBUG] Currently updating graphics
2023-09-27 19:57:50[DEBUG] Currently updating graphics
2023-09-27 19:57:50[DEBUG] Currently updating graphics
2023-09-27 19:57:50[DEBUG] Currently updating graphics
2023-09-27 19:57:50[DEBUG] Currently updating graphics
2023-09-27 19:57:50[DEBUG] Currently updating graphics
2023-09-27 19:57:50[DEBUG] Currently updating graphics
2023-09-27 19:57:50[DEBUG] Currently updating graphics
2023-09-27 19:57:50[DEBUG] Currently updating graphics
2023-09-27 19:57:50[DEBUG] Currently updating graphics
2023-09-27 19:57:50[DEBUG] Currently updating graphics
2023-09-27 19:57:51[DEBUG] Currently updating graphics
2023-09-27 19:57:51[DEBUG] Currently updating graphics
2023-09-27 19:57:51[DEBUG] Currently updating graphics
2023-09-27 19:57:51[DEBUG] Currently updating graphics
2023-09-27 19:57:51[DEBUG] Currently updating graphics
2023-09-27 19:57:51[DEBUG] Currently updating graphics
2023-09-27 19:57:51[DEBUG] Currently updating graphics
2023-09-27 19:57:51[DEBUG] Currently updating graphics
2023-09-27 19:57:51[DEBUG] Currently updating graphics
2023-09-27 19:57:51[DEBUG] Currently updating graphics
2023-09-27 19:57:51[DEBUG] Currently updating graphics
2023-09-27 19:57:51[DEBUG] Currently updating graphics
2023-09-27 19:57:51[DEBUG] Currently updating graphics
2023-09-27 19:57:51[DEBUG] Currently updating graphics
2023-09-27 19:57:51[DEBUG] Currently updating graphics
2023-09-27 19:57:51[DEBUG] Currently updating graphics
2023-09-27 19:57:51[DEBUG] Currently updating graphics
2023-09-27 19:57:51[DEBUG] Currently updating graphics
2023-09-27 19:57:51[DEBUG] Currently updating graphics
2023-09-27 19:57:51[DEBUG] Currently updating graphics
2023-09-27 19:57:52[DEBUG] Currently updating graphics
2023-09-27 19:57:52[DEBUG] Currently updating graphics
2023-09-27 19:57:52[DEBUG] Currently updating graphics
2023-09-27 19:57:52[DEBUG] Currently updating graphics
2023-09-27 19:57:52[DEBUG] Currently updating graphics
2023-09-27 19:57:52[DEBUG] Currently updating graphics
2023-09-27 19:57:52[DEBUG] Currently updating graphics
2023-09-27 19:57:52[DEBUG] Currently updating graphics
2023-09-27 19:57:52[DEBUG] Currently updating graphics
2023-09-27 19:57:52[DEBUG] Currently updating graphics
2023-09-27 19:57:52[DEBUG] Currently updating graphics
2023-09-27 19:57:52[DEBUG] Currently updating graphics
2023-09-27 19:57:52[DEBUG] Currently updating graphics
2023-09-27 19:57:52[DEBUG] Currently updating graphics
2023-09-27 19:57:52[DEBUG] Currently updating graphics
2023-09-27 19:57:52[DEBUG] Currently updating graphics
2023-09-27 19:57:52[DEBUG] Currently updating graphics
2023-09-27 19:57:52[DEBUG] Currently updating graphics
2023-09-27 19:57:52[DEBUG] Currently updating graphics
2023-09-27 19:57:52[DEBUG] Currently updating graphics
2023-09-27 19:57:53[DEBUG] Currently updating graphics
2023-09-27 19:57:53[DEBUG] Currently updating graphics
2023-09-27 19:57:53[DEBUG] Currently updating graphics
2023-09-27 19:57:53[DEBUG] Currently updating graphics
2023-09-27 19:57:53[DEBUG] Currently updating graphics
2023-09-27 19:57:53[DEBUG] Currently updating graphics
2023-09-27 19:57:53[DEBUG] Currently updating graphics
2023-09-27 19:57:53[DEBUG] Currently updating graphics
2023-09-27 19:57:53[DEBUG] Currently updating graphics
2023-09-27 19:57:53[DEBUG] Currently updating graphics
2023-09-27 19:57:53[DEBUG] Currently updating graphics
2023-09-27 19:57:53[DEBUG] Currently updating graphics
2023-09-27 19:57:53[DEBUG] Currently updating graphics
2023-09-27 19:57:53[DEBUG] Currently updating graphics
2023-09-27 19:57:53[DEBUG] Currently updating graphics
2023-09-27 19:57:53[DEBUG] Currently updating graphics
2023-09-27 19:57:53[DEBUG] Currently updating graphics
2023-09-27 19:57:53[DEBUG] Currently updating graphics
2023-09-27 19:57:53[DEBUG] Currently updating graphics
2023-09-27 19:57:53[DEBUG] Currently updating graphics
2023-09-27 19:57:54[DEBUG] Currently updating graphics
2023-09-27 19:57:54[DEBUG] Currently updating graphics
2023-09-27 19:57:54[DEBUG] Currently updating graphics
2023-09-27 19:57:54[DEBUG] Currently updating graphics
2023-09-27 19:57:54[DEBUG] Currently updating graphics
2023-09-27 19:57:54[DEBUG] Currently updating graphics
2023-09-27 19:57:54[DEBUG] Currently updating graphics
2023-09-27 19:57:54[DEBUG] Currently updating graphics
2023-09-27 19:57:54[DEBUG] Currently updating graphics
2023-09-27 19:57:54[DEBUG] Currently updating graphics
2023-09-27 19:57:54[DEBUG] Currently updating graphics
2023-09-27 19:57:54[DEBUG] Currently updating graphics
2023-09-27 19:57:54[DEBUG] Currently updating graphics
2023-09-27 19:57:54[DEBUG] Currently updating graphics
2023-09-27 19:57:54[DEBUG] Currently updating graphics
2023-09-27 19:57:54[DEBUG] Currently updating graphics
2023-09-27 19:57:54[DEBUG] Currently updating graphics
2023-09-27 19:57:54[DEBUG] Currently updating graphics
2023-09-27 19:57:54[DEBUG] Currently updating graphics
2023-09-27 19:57:54[DEBUG] Currently updating graphics
2023-09-27 19:57:55[DEBUG] Currently updating graphics
2023-09-27 19:57:55[DEBUG] Currently updating graphics
2023-09-27 19:57:55[DEBUG] Currently updating graphics
2023-09-27 19:57:55[DEBUG] Currently updating graphics
2023-09-27 19:57:55[DEBUG] Currently updating graphics
2023-09-27 19:57:55[DEBUG] Currently updating graphics
2023-09-27 19:57:55[DEBUG] Currently updating graphics
2023-09-27 19:57:55[DEBUG] Currently updating graphics
2023-09-27 19:57:55[DEBUG] Currently updating graphics
2023-09-27 19:57:55[DEBUG] Currently updating graphics
2023-09-27 19:57:55[DEBUG] Currently updating graphics
2023-09-27 19:57:55[DEBUG] Currently updating graphics
2023-09-27 19:57:55[DEBUG] Currently updating graphics
2023-09-27 19:57:55[DEBUG] Currently updating graphics
2023-09-27 19:57:55[DEBUG] Currently updating graphics
2023-09-27 19:57:55[DEBUG] Currently updating graphics
2023-09-27 19:57:55[DEBUG] Currently updating graphics
2023-09-27 19:57:55[DEBUG] Currently updating graphics
2023-09-27 19:57:55[DEBUG] Currently updating graphics
2023-09-27 19:57:55[DEBUG] Currently updating graphics
2023-09-27 19:57:56[DEBUG] Currently updating graphics
2023-09-27 19:57:56[DEBUG] Currently updating graphics
2023-09-27 19:57:56[DEBUG] Currently updating graphics
2023-09-27 19:57:56[DEBUG] Currently updating graphics
2023-09-27 19:57:56[DEBUG] Currently updating graphics
2023-09-27 19:57:56[DEBUG] Currently updating graphics
2023-09-27 19:57:56[DEBUG] Currently updating graphics
2023-09-27 19:57:56[DEBUG] Currently updating graphics
2023-09-27 19:57:56[DEBUG] Currently updating graphics
2023-09-27 19:57:56[DEBUG] Currently updating graphics
2023-09-27 19:57:56[DEBUG] Currently updating graphics
2023-09-27 19:57:56[DEBUG] Currently updating graphics
2023-09-27 19:57:56[DEBUG] Currently updating graphics
2023-09-27 19:57:56[DEBUG] Currently updating graphics
2023-09-27 19:57:56[DEBUG] Currently updating graphics
2023-09-27 19:57:56[DEBUG] Currently updating graphics
2023-09-27 19:57:56[DEBUG] Currently updating graphics
2023-09-27 19:57:56[DEBUG] Currently updating graphics
2023-09-27 19:57:56[DEBUG] Currently updating graphics
2023-09-27 19:57:56[DEBUG] Currently updating graphics
2023-09-27 19:57:57[DEBUG] Currently updating graphics
2023-09-27 19:57:57[DEBUG] Currently updating graphics
2023-09-27 19:57:57[DEBUG] Currently updating graphics
2023-09-27 19:57:57[DEBUG] Currently updating graphics
2023-09-27 19:57:57[DEBUG] Currently updating graphics
2023-09-27 19:57:57[DEBUG] Currently updating graphics
2023-09-27 19:57:57[DEBUG] Currently updating graphics
2023-09-27 19:57:57[DEBUG] Currently updating graphics
2023-09-27 19:57:57[DEBUG] Currently updating graphics
2023-09-27 19:57:57[DEBUG] Currently updating graphics
2023-09-27 19:57:57[DEBUG] Currently updating graphics
2023-09-27 19:57:57[DEBUG] Currently updating graphics
2023-09-27 19:57:57[DEBUG] Currently updating graphics
2023-09-27 19:57:57[DEBUG] Currently updating graphics
2023-09-27 19:57:57[DEBUG] Currently updating graphics
2023-09-27 19:57:57[DEBUG] Currently updating graphics
2023-09-27 19:57:57[DEBUG] Currently updating graphics
2023-09-27 19:57:57[DEBUG] Currently updating graphics
2023-09-27 19:57:57[DEBUG] Currently updating graphics
2023-09-27 19:57:57[DEBUG] Currently updating graphics
2023-09-27 19:57:58[DEBUG] Currently updating graphics
2023-09-27 19:57:58[DEBUG] Currently updating graphics
